試験名称,26.05.11.1班 5.5
ステップNo.,31
試験開始日時,2026/05/14 14:35:37
サンプリング周波数(Hz),1000
記録周波数(Hz),1000

,右-Fx,右-Fy,右-Fz,右-Mx,右-My,右-Mz,右-Mx',右-My',右-COPx,右-COPy,左-Fx,左-Fy,左-Fz,左-Mx,左-My,左-Mz,左-Mx',左-My',左-COPx,左-COPy,合成-Fx,合成-Fy,合成-Fz,合成-Mx,合成-My,合成-Mz,合成-COPx,合成-COPy,右-速度計,左-速度計,右-速度,左-速度,右-実速度,左-実速度,引張力,負荷制御,右-Fy電圧,左-Fy電圧,右-Fz電圧,左-Fz電圧
単位,N,N,N,N･m,N･m,N･m,N･m,N･m,mm,mm,N,N,N,N･m,N･m,N･m,N･m,N･m,mm,mm,N,N,N,N･m,N･m,N･m,mm,mm,km/h,km/h,km/h,km/h,km/h,km/h,N,,V,V,V,V
MIN,-88.1066285104417,-60.0458969036291,-1.42810729465654,-325.833333333333,-124.5,-19.3,-321.471193445519,-131.104661276946,0,-573.354306104861,-13.4807820578517,-55.014056378464,-2.37291988825189,-314.333333333333,-1.65,-13.3,-310.581871968164,-1.49520866576568,-395.808655537107,-545.470490312968,-44.1349014014942,-91.9227626488411,-2.77374031236955,-621.295672892736,-82.7554040924869,-25.846623913846,-191.053467303486,-542.631228173199,0,0.0018310546875,0,0,-0.105371283543064,-0.100102661594166,4.638671875,0,0.00152587890625,0.00152587890625,0.03509521484375,-0.00701904296875
MAX,0.298792487993582,86.3011435345294,1355.22984214571,63.3333333333333,1.4,21.75,58.8630765943386,1.32227708270203,277.208969451991,311.713261866604,113.377246058816,82.6472237335845,1404.71230023311,63.1666666666667,123.35,19.95,59.8482916127867,129.773351077656,0,333.88386926943,63.0522167331444,168.948367268114,2678.20534296065,118.341347539276,51.7506351860668,28.6840402676097,195.665473066451,333.88386926943,0.0750732421875,0.05126953125,0,0,0.155574660400396,0.0987404511384142,6.8359375,0,0.01312255859375,0.01190185546875,0.04638671875,0.00732421875
データ数,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600,20600

,右-Fx,右-Fy,右-Fz,右-Mx,右-My,右-Mz,右-Mx',右-My',右-COPx,右-COPy,左-Fx,左-Fy,左-Fz,左-Mx,左-My,左-Mz,左-Mx',左-My',左-COPx,左-COPy,合成-Fx,合成-Fy,合成-Fz,合成-Mx,合成-My,合成-Mz,合成-COPx,合成-COPy,右-速度計,左-速度計,右-速度,左-速度,右-実速度,左-実速度,引張力,負荷制御,右-Fy電圧,左-Fy電圧,右-Fz電圧,左-Fz電圧
0,-19.3711545547306,9.45390399334251,331.690498217493,-5.83333333333333,-24.65,4.85,-6.99049118211846,-27.021029317499,81.4645866032046,-21.075343489444,20.3449195835441,-4.73091771668879,389.745349176764,-14.6666666666667,8.7,0.55,-14.087602338144,11.1902181570258,-28.7116143416778,-36.1456586150428,0.973765028813499,4.72298627665372,721.435847394256,-21.0780935202624,-27.6740007561645,2.50629637115361,38.3596141723756,-29.2168646684166,0.0238037109375,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.00640869140625,0.0042724609375,0.037841796875,-0.00457763671875
0.001,-19.369708370461,9.46250515273266,331.661153443507,-5.5,-24.65,4.75,-6.65821063069448,-27.0208523045444,81.4712607249826,-20.075340634756,20.3511609919743,-4.69932918428032,389.676361517509,-13.8333333333333,8.55,0.4,-13.2581354411774,11.0409821054177,-28.3337230475592,-34.0234531793166,0.981452621513352,4.76317596845234,721.337514961016,-19.9163460718719,-27.8149726462232,2.26098579524935,38.560274586199,-27.6103012234824,0.0146484375,0.010986328125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.92041015625,0,0.0067138671875,0.0042724609375,0.0390625,-0.003662109375
0.002,-19.3674380960307,9.47111152330561,331.630294101715,-5.5,-24.65,4.45,-6.65926405045261,-27.0205744229542,81.4780039807419,-20.0803852027165,20.357200761901,-4.66964882423855,389.603724755792,-13.8333333333333,8.45,0.35,-13.2617683172465,10.9417213732567,-28.0842319464863,-34.0391209697987,0.989762665870316,4.80146269906706,721.234018857507,-19.9210323676991,-27.9054329031291,1.91528488910099,38.6912322124427,-27.620760872117,0.0146484375,0.0128173828125,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.67626953125,0,0.006103515625,0.0048828125,0.03936767578125,-0.00335693359375
0.003,-19.3643855884654,9.47998996387673,331.597867967169,-6.16666666666667,-24.4,4.3,-7.32701743824518,-26.7702007960282,80.7309195325667,-22.0960933288347,20.3630166523327,-4.64259262406488,389.528165101897,-13.6666666666667,8.4,0.2,-13.0984133294811,10.8924332382455,-27.9631467352204,-33.6263574831738,0.998631063867222,4.83739733981185,721.126033069065,-20.4254307677263,-27.6955481732672,1.61899315205991,38.4059746884976,-28.3243563968936,0.0201416015625,0.0146484375,0,0,-9.88131291682493E-324,-9.88131291682493E-324,5.859375,0,0.006103515625,0.00457763671875,0.0390625,-0.00244140625
